,label,text,tense,direction,over-polarity
112,fear,When I was cycling past a parked car someone opened the door and nearly pushed me off my bike and into the traffic.,xxfut xxpas,xxsel,xxneg
113,sadness,"""My grandfather died, when I was an exchange student in the USA.""",xxpre xxpas,xxsel,xxneg
114,guilt,I was at school and afterwards went to work. After work I went to see a friend and stayed out late. when I got home my mother was awake and I felt guilty.,xxpre xxpas xxfut,xxoth,xxneg
115,sadness,At the begining of a new course one is afraid of encountering problems one can not manage.  Thoughts revolve around failing the subject and the consequences it would have for the future.,xxpre xxpas,xxsel,xxneg
116,fear,Walking in the dark and thinking about ghost stories.,xxfut xxpas,xxsel,xxneg
117,shame,"""After our sad first of May party, I felt ashamed because the friends who had been invited had to suffer.  We, the organizers of the party, did not drive the intruders away.""",,xxsel,xxneg
118,joy,I was very happy when I passed and went to form I.  It was a great relief for me as I had been very worried considering the large number of pupils who fail.,xxpre xxpas xxfut,xxsel xxoth,xxpos
119,shame,"""When I was leaving home I decided to leave without saying good-bye to my young brother.  My brother saw me and said,        """" Will you not say good-bye to me?""""  He is only 31/2 years old. """,,xxsel,xxneg
120,disgust,A sour looking man was beating his thin dog in Remuera.,xxpre xxpas xxfut,xxoth,xxneg
121,disgust,"""I was returning from the Universtity at night when I was accosted by a boy who molested me, passing his hands on my body.""",xxpre xxpas xxfut,xxoth,xxneg
122,sadness,After training for an Australian championship competition for a year and then injuring myself 2 weeks before the competiotion.,xxpre xxpas,xxsel,xxneg
123,sadness,A close friend of mine had not contacted me for a long time.,xxpre xxpas,xxsel,xxneg
124,sadness,Lecturers being unfair to me in reports.,xxpre xxpas,xxsel,xxneg
125,sadness,I missed the last tram home and had to walk in the pouring rain.,xxpre xxpas,xxsel,xxneg
126,joy,"""When I passed the B.A exams and my parents allowed me to carry on my studies and do a M.A. , I was very happy.""",xxpre xxpas xxfut,xxsel xxoth,xxpos
127,fear,I had climbed on a cherry tree alone and there was a thick caterpillar beside my fingers. I feel disgusted by caterpillars and snakes. I was terribly afraid of the caterpillar crawling on my fingers. Out of the fear I was almost unable to climb down.,xxfut xxpas,xxsel,xxneg
128,anger,I had an exam and I had it well prepared.  I did the first part very well but did not know the second part.,,xxoth,xxneg
129,joy,Renewed contact with an earlier friend.,xxpre xxpas xxfut,xxsel xxoth,xxpos
130,disgust,"""When a drunkard, in town yelled at me saying that I was a prostitute.""",xxpre xxpas xxfut,xxoth,xxneg
131,anger,Someone told me that he would stay at my home for one night. Therefore I made big efforts to make everything ok (food). One day before he cancelled the appointment because he had to go to church with his parents.,,xxoth,xxneg
132,sadness,I was so sad when I heard that my Uncle had passed away. He was the only man who was supporting my parents as well as myself.,xxpre xxpas,xxsel,xxneg
133,fear,I was moving in the graveyard at 6.00 pm one day and was griped by fear because I was told that ghosts detain people moving there at night.,xxfut xxpas,xxsel,xxneg
134,shame,When I fell down.,,xxsel,xxneg
135,shame,I feel ashamed at the fact that even after 35 years of independence   70% of the Indian poulation is still below the poverty line.,,xxsel,xxneg
136,anger,When I was left by the person I loved without any reason.,,xxoth,xxneg
137,shame,When you betray the trust you have been given. This is connected with copying at a class-work at school.,,xxsel,xxneg
138,joy,This week I was phoned by an old friend with whom I lost contact a few years ago.,xxpre xxpas xxfut,xxsel xxoth,xxpos
139,disgust,An Engineer I know wants war so he can get a job making bombs.,xxpre xxpas xxfut,xxoth,xxneg
140,fear,"""When somebody broke into our home one night when my mother was out, and my sister and I had just gone to bed.""",xxfut xxpas,xxsel,xxneg
141,fear,Damaged the tap in the residental Hall.,xxfut xxpas,xxsel,xxneg
142,anger,"""When my room-mate was making noise deliberately, by playing a flute early in the morning while I was trying to study.""",,xxoth,xxneg
143,disgust,My boss on the job failed to keep his promise about something he knew was extremely important to me.,xxpre xxpas xxfut,xxoth,xxneg
144,joy,When my husband and I decided to take a few days holiday after a particularly trying period.,xxpre xxpas xxfut,xxsel xxoth,xxpos
145,shame,Finding out China is backward in science.,,xxsel,xxneg
146,anger,"""When a so-called friend let me down, when she promised to tell me when a certain concert was occurring, and that she'd get me tickets. I was really looking forward to it. She did nothing, just told me out of the blue one day what a fantastic concert it was going to be.""",,xxoth,xxneg
147,fear,"""I felt fear when I sat for one of my exams. Though my fear was not quite justifiable, I still remember about it.""",xxfut xxpas,xxsel,xxneg
148,sadness,A friend of mine got pregnant anf failed the first year at university.  The boyfriend refused his responsibility and they ended up in court.,xxpre xxpas,xxsel,xxneg
149,disgust,"""When I came to know that my father and his parents were : self interested, dirty, negative, egoist, bad peolpe,......""",xxpre xxpas xxfut,xxoth,xxneg
150,shame,"""The day my boyfriend saw and touched my breasts when I was without my shirt, only with my pants.""",,xxsel,xxneg
151,guilt,When I applied for a false travelling claim allowance and later I thought that I would be found out.,xxpre xxpas xxfut,xxoth,xxneg
152,sadness,My boyfriend didn't turn up after promising that he was coming.,xxpre xxpas,xxsel,xxneg
153,fear,"""In a rather important exam, when they caught me red handed copying.""",xxfut xxpas,xxsel,xxneg
154,anger,"""At my father's treatment of my mother, at his disregard for her, and not being committed to her.""",,xxoth,xxneg
155,guilt,When I was young I felt guilty because I thought that I had commited a grave sin.,xxpre xxpas xxfut,xxoth,xxneg
156,sadness,"""My father suddenly fell ill. He stayed for 3 months in the hospital: the last month on intensive care of the Academic Hospital, then he died.""",xxpre xxpas,xxsel,xxneg
157,joy,"""It appeared that I gave correct answers to all questions during an examination of personality while I thought I performed very badly. Even now, I don't know how I managed it.""",xxpre xxpas xxfut,xxsel xxoth,xxpos
158,fear,When I was little I lost control of my bike and started to go into a buay intersection but my neighbor stopped me just in time.,xxfut xxpas,xxsel,xxneg
159,joy,A party I went to last Christmas.,xxpre xxpas xxfut,xxsel xxoth,xxpos
160,sadness,The death of a close friend.,xxpre xxpas,xxsel,xxneg
161,sadness,I did not do as well as I expected on a chemistry exam. I received a score below the average and I thought I had done very well.,xxpre xxpas,xxsel,xxneg
162,fear,Watching a horror film.,xxfut xxpas,xxsel,xxneg
163,sadness,I talked to my boyfriend on the phone when I was in high spirits and had a lot to tell him.  I had been looking forward to this conversation and he did not listen to me to the extent that I had anticipated.,xxpre xxpas,xxsel,xxneg
164,anger,"""When I heard on the radio that the football match in Belgium had ended in a catastrophe, and several people had died.  I could not  understand how normal people could behave in such a way.""",,xxoth,xxneg
165,disgust,"""A railways officer, when asked by the ticket checker to produce his tickets, got very aggressive and started abusing and using his authority in a very wrong way.""",xxpre xxpas xxfut,xxoth,xxneg
166,joy,I was very happy when I got the message that I had been accepted as a student in medicine.,xxpre xxpas xxfut,xxsel xxoth,xxpos
167,shame,I was very much ashamed after a friend beat me at school and I was defeated.,,xxsel,xxneg
168,fear,When I was just to be divorced.,xxfut xxpas,xxsel,xxneg
169,guilt,Not finishing homework in time.,xxpre xxpas xxfut,xxoth,xxneg
170,joy,"""I was in ILHA GRANDE with a wonderful sun, with wonderful people, with a wonderful sea, with a wonderful boy.""",xxpre xxpas xxfut,xxsel xxoth,xxpos
171,shame,"""My grades. When my parents say, """"How are you doing at school, getting good grades ?"""" I say, """"Great, just fine !"""" Actually, I feel ashamed about myself.""",,xxsel,xxneg
172,fear,I was skiing alone and the mountain became covered with mist and I thought I was lost and was going to panic.,xxfut xxpas,xxsel,xxneg
173,sadness,I was very sad when I heard that my brother had failed the standard 8 exams for the third time.,xxpre xxpas,xxsel,xxneg
174,guilt,When I didn't notify someone that he was summoned by a headmaster and as a result he ended being on a heavy punishment.,xxpre xxpas xxfut,xxoth,xxneg
175,joy,Meeting an old friend from high school.,xxpre xxpas xxfut,xxsel xxoth,xxpos
176,shame,I received the results of the test paper of my major subject and I found that my result was not as good as a classmate who had recently changed his major subject.    I felt very ashamed.,,xxsel,xxneg
177,guilt,I was trying to have sex with my best friend's girl but she did not agree to it.,xxpre xxpas xxfut,xxoth,xxneg
178,fear,"""Together with a little brother I biked on a lonely road in the Polder. Then we were annoyed by a boy on a motorbike: he took over, stopped, took over, etc. Then we saw he had something in his hand, we turned until we came across a man, who accompanied us.""",xxfut xxpas,xxsel,xxneg
179,fear,When my friend was involved in a car accident.,xxfut xxpas,xxsel,xxneg
180,sadness,My best friend suddenly acting strange towards me.,xxpre xxpas,xxsel,xxneg
181,fear,I woke up in the middle of the night as I had jumped and shouted with fear.  I thought that someone's cold hand or something similar had touched my hand.  I crept down under the covers and went back to sleep.,xxfut xxpas,xxsel,xxneg
182,sadness,Sometimes I experience sadness for the Sports High School and for my unrealized dreams in the sport. Anyway there I spent six years of my life.,xxpre xxpas,xxsel,xxneg
183,shame,When I failed to answer a simple question.,,xxsel,xxneg
184,guilt,Many years back I quarrelled with my younger brother for a small reason.  I used a pole to beat him and nearly broke his arm.  He recovered after a treatment which lasted several months.  After this our relationship was worse and he would not listen to me.,xxpre xxpas xxfut,xxoth,xxneg
185,anger,NO RESPONSE.,,xxoth,xxneg
186,anger,I was most angry when India lost the Triangular Cricket trophy held in Australia.  I was so angry that I fought (orally) with my friend.,,xxoth,xxneg
187,sadness,When my parents got divorced.,xxpre xxpas,xxsel,xxneg
188,disgust,I saw a physically handicapped young man whose spittle ran out of his mouth while speaking.,xxpre xxpas xxfut,xxoth,xxneg
189,anger,"""I am one of four directors of a company. We inherited land held by our family - ours is the 5th generation. A """"democratic"""" decision was made to stap-bank an area of mangroves.""",,xxoth,xxneg
190,joy,"""When you are satisfied with something, when you achieve something you have striven to.""",xxpre xxpas xxfut,xxsel xxoth,xxpos
191,disgust,"""I detest any kind of constraint and hate the attempts of elder people to force me to a norm of behavior without having legal or moral rights to do it. I felt this emotion when a neighbour of mine made me kick out my guests because they had talked very loudly and threatened that with """"connections"""" she will expel me from the inst.""",xxpre xxpas xxfut,xxoth,xxneg
192,disgust,"""I was disgusted when I was told to dress a big rotten stinky wound which, coming closer, made me feel like vomitting.""",xxpre xxpas xxfut,xxoth,xxneg
193,anger,"""When my friends left without waiting for me, after we had arranged to go out together.""",,xxoth,xxneg
194,disgust,When I am dirty because I have not had a shower for a few days.,xxpre xxpas xxfut,xxoth,xxneg
195,anger,Being put down by the class leaders.,,xxoth,xxneg
196,joy,"""When I got admission in M.Sc (I) Organic Chemistry, I was very happy.""",xxpre xxpas xxfut,xxsel xxoth,xxpos
197,fear,Fear of punishment for having broken an item of value to my parents.,xxfut xxpas,xxsel,xxneg
198,guilt,I stole a coconut cake from a reception table and when I put in my mouth I realized that the host was watching me.,xxpre xxpas xxfut,xxoth,xxneg
199,sadness,"""When my grandfather whom I had met only once for 3 weeks, died after several months. I was really sad because he was a lovely person and I did not have the means for his company.""",xxpre xxpas,xxsel,xxneg
200,sadness,When my grandmother died. I had lived with her for ten years.,xxpre xxpas,xxsel,xxneg
201,sadness,When I learned that my dad had cancer. I knew he was going to the hospital for some tests. My mom told me when she picked me up one weekend from CAL to take me home.,xxpre xxpas,xxsel,xxneg
202,disgust,When the N.Z. rugby union announced that they would proceed with a rugby tour of South Africa.,xxpre xxpas xxfut,xxoth,xxneg
203,guilt,When I failed an exam for which I knew that I had not studied hard enough.,xxpre xxpas xxfut,xxoth,xxneg
204,disgust,I felt disgust after watching a picture on television about torturing political prisoners in India (this happened in the India of Indira Ghandi).,xxpre xxpas xxfut,xxoth,xxneg
205,shame,"""The first time that I caressed a girl, I was about thirteen and she was eighteen.  I noticed that it did not affect her at all.""",,xxsel,xxneg
206,disgust,"""I saw a man falling on the walkway. He seemed half dead, and was immobile. I felt disgust for the people who passed by without doing anything to help.""",xxpre xxpas xxfut,xxoth,xxneg
207,joy,When I passed an important exam.,xxpre xxpas xxfut,xxsel xxoth,xxpos
208,shame,When I was about seven or eight I was caught having stolen a doll's dress from my next-door neighbour.,,xxsel,xxneg
209,guilt,When my friend ended up pregnant by a gentleman whom I considered to be good and faithful but he ended up neglecting her and not bothering about her.,xxpre xxpas xxfut,xxoth,xxneg
210,fear,Slept in a chapel and in the middle of the night I realized that there was someeone else in the chapel.  I never discovered who it was and why he was there.,xxfut xxpas,xxsel,xxneg
211,shame,"""My father died 4 years ago, 18 months after my mother died. I feld my sister was responsible for his death, in that she """"hadn't loved him"""". I felt ashamed for myself, and for my family.""",,xxsel,xxneg
212,joy,When I was selected to come here.,xxpre xxpas xxfut,xxsel xxoth,xxpos
213,shame,My cousin and I were at the farm and at night we drunk like fools and made a lot of noise.  We had drunk two much of wine.,,xxsel,xxneg
214,shame,Cannot recall the emotion with any force.,,xxsel,xxneg
215,joy,When I fell crazily in love with a beautiful girl and she returned my love.,xxpre xxpas xxfut,xxsel xxoth,xxpos
216,disgust,I am disgusted with a nieghbour who is looking for all sorts of quarrel with my parents and me. He feels we are hampering his living close to us. This has been going on for quite a long time.,xxpre xxpas xxfut,xxoth,xxneg
217,joy,I passed my MCE Examination. at first I was worried but when I heard my name I had joy in my heart and I arranged for a trip to attend a wedding ceremony.,xxpre xxpas xxfut,xxsel xxoth,xxpos
218,sadness,When my grandfather died.,xxpre xxpas,xxsel,xxneg
219,disgust,After a serie of facts that occurred between a colleague and me I started to feel a certain necessity to get apart and I didn't want to see her anymore.,xxpre xxpas xxfut,xxoth,xxneg
220,anger,"""In the house where I live there is a new flatmate. His friends unfortunately are the dirt of society, intelligent, fashonable, rich and bored. At a party recently they were doing things I didn't like done in my house. I felt angry at them.""",,xxoth,xxneg
221,disgust,A lie on the part of a person close to me.,xxpre xxpas xxfut,xxoth,xxneg
222,disgust,When I needed another job and tought that a good and known person (my employer) could help me. He simply said that he couldn't help me.,xxpre xxpas xxfut,xxoth,xxneg
223,anger,When I had an argument with my best friend and I thought that I was right and she was not.,,xxoth,xxneg
